
CodeIgniter v4.7.0 Command Line Tool - Server Time: 2026-03-28 05:31:06 UTC+00:00

+-----------+-------------------+-----------------------------------+---------+---------------------+-------+
| Namespace | Version           | Filename                          | Group   | Migrated On         | Batch |
+-----------+-------------------+-----------------------------------+---------+---------------------+-------+
| App       | 2026-03-08-000001 | CreateUsersTable                  | default | 2026-03-27 17:15:39 | 1     |
| App       | 2026-03-08-000002 | CreateReportsTable                | default | 2026-03-27 17:15:39 | 1     |
| App       | 2026-03-08-000003 | CreatePurchaseOrdersTable         | default | 2026-03-27 17:15:39 | 1     |
| App       | 2026-03-09-194352 | UpdatePurchaseOrdersTable         | default | 2026-03-27 17:15:39 | 1     |
| App       | 2026-03-09-194353 | CreatePurchaseOrderApprovalsTable | default | 2026-03-27 17:15:39 | 1     |
| App       | 2026-03-09-194353 | CreatePurchaseOrderItemsTable     | default | 2026-03-27 17:15:39 | 1     |
| App       | 2026-03-24-000001 | CreateSignaturesTable             | default | 2026-03-27 17:15:39 | 1     |
| App       | 2026-03-24-000002 | CreateBarangDatangTables          | default | 2026-03-27 17:15:39 | 1     |
| App       | 2026-03-24-000003 | CreateCekBahanBakuTables          | default | 2026-03-27 17:15:39 | 1     |
| App       | 2026-03-24-193043 | CreateAbsensiTable                | default | 2026-03-27 17:15:39 | 1     |
| App       | 2026-03-24-193043 | CreateRelawanTable                | default | 2026-03-27 17:15:39 | 1     |
| App       | 2026-03-24-193044 | CreateAbsensiItemsTable           | default | 2026-03-27 17:15:39 | 1     |
| App       | 2026-03-25-000001 | CreateUjiOrganoleptikTables       | default | 2026-03-27 17:15:39 | 1     |
| App       | 2026-03-25-000002 | CreateBaKehilanganTable           | default | 2026-03-27 17:15:39 | 1     |
| App       | 2026-03-25-000003 | CreatePemberitahuanKerjaTable     | default | 2026-03-27 17:15:39 | 1     |
| App       | 2026-03-25-000004 | CreateStokGudangTables            | default | 2026-03-27 17:15:39 | 1     |
| App       | 2026-03-25-000005 | CreateStokOpnameTables            | default | 2026-03-27 17:15:40 | 1     |
| App       | 2026-03-25-000006 | CreateRekapPorsiTables            | default | 2026-03-27 17:15:40 | 1     |
| App       | 2026-03-25-000007 | CreateUserSignaturesTable         | default | 2026-03-27 17:15:40 | 1     |
| App       | 2026-03-25-075224 | CreateBukuKasTable                | default | 2026-03-27 17:15:40 | 1     |
| App       | 2026-03-25-081839 | CreatePettyCashTable              | default | 2026-03-27 17:15:40 | 1     |
| App       | 2026-03-25-084925 | CreateSppgsTable                  | default | 2026-03-27 17:15:40 | 1     |
| App       | 2026-03-25-085103 | AddSppgIdToUsers                  | default | 2026-03-27 17:15:40 | 1     |
| App       | 2026-03-25-173622 | AddAlamatToSppgsTable             | default | 2026-03-27 17:15:40 | 1     |
| App       | 2026-03-28-000001 | CreateUjiCitaRasaTables           | ---     | ---                 | ---   |
| App       | 2026-03-28-000002 | CreatePemeriksaanSampelTable      | ---     | ---                 | ---   |
| App       | 2026-03-28-000003 | CreateMakananLebihTables          | ---     | ---                 | ---   |
| App       | 2026-03-28-000004 | CreateSerahTerimaBahanTables      | ---     | ---                 | ---   |
| App       | 2026-03-28-000005 | CreateMonitoringSuhuMasakTables   | ---     | ---                 | ---   |
| App       | 2026-03-28-000006 | CreateThawingAirTables            | ---     | ---                 | ---   |
| App       | 2026-03-28-000007 | CreateThawingChillerTables        | ---     | ---                 | ---   |
| App       | 2026-03-28-000008 | CreateSuhuRuanganTable            | ---     | ---                 | ---   |
| App       | 2026-03-28-000009 | CreateSuhuChillerFreezerTable     | ---     | ---                 | ---   |
| App       | 2026-03-28-000010 | CreatePencucianBahanTables        | ---     | ---                 | ---   |
| App       | 2026-03-28-000011 | CreateOperationalSanitationTables | ---     | ---                 | ---   |
| App       | 2026-03-28-000012 | CreateMaintenanceHygieneTables    | ---     | ---                 | ---   |
| App       | 2026_03_10_000001 | CreateBeneficiariesTable          | default | 2026-03-27 17:15:39 | 1     |
| App       | 2026_03_10_000002 | CreateBeneficiaryItemsTable       | default | 2026-03-27 17:15:39 | 1     |
| App       | 2026_03_10_000003 | CreateRoutesTable                 | default | 2026-03-27 17:15:39 | 1     |
| App       | 2026_03_10_000004 | CreateRouteItemsTable             | default | 2026-03-27 17:15:39 | 1     |
+-----------+-------------------+-----------------------------------+---------+---------------------+-------+

